Author1	Author2	n
Perou C	Shen D	0
Perou C	Sims A	1
Perou C	Sullivan P	0
Perou C	Wang Q	5
Perou C	Wei H	0
Perou C	You W	0
Popkin B	Brewer N	0
Popkin B	Deng Y	0
Popkin B	Dotti G	0
Popkin B	Graham R	0
Popkin B	Hoadley K	0
Popkin B	Huang L	0
Popkin B	Lazear H	0
Popkin B	Leist S	0
Popkin B	McCorvy J	0
Popkin B	Perou C	0
Popkin B	Reeve B	0
Popkin B	Ribisl K	0
Popkin B	Savoldo B	0
Popkin B	Schafer A	0
Popkin B	Sheahan T	0
Popkin B	Shen D	0
Popkin B	Sims A	0
Popkin B	Sullivan P	0
Popkin B	Wang Q	0
Popkin B	Wei H	0
Popkin B	You W	0
Reeve B	Brewer N	0
Reeve B	Deng Y	0
Reeve B	Dotti G	0
Reeve B	Graham R	0
Reeve B	Hoadley K	0
Reeve B	Huang L	0
Reeve B	Lazear H	0
Reeve B	Leist S	0
Reeve B	McCorvy J	0
Reeve B	Perou C	0
Reeve B	Popkin B	0
Reeve B	Ribisl K	0
Reeve B	Savoldo B	0
Reeve B	Schafer A	0
Reeve B	Sheahan T	0
Reeve B	Shen D	0
Reeve B	Sims A	0
Reeve B	Sullivan P	0
Reeve B	Wang Q	0
Reeve B	Wei H	0
Reeve B	You W	0
Ribisl K	Brewer N	43
Ribisl K	Deng Y	0
Ribisl K	Dotti G	0
Ribisl K	Graham R	0
Ribisl K	Hoadley K	0
Ribisl K	Huang L	0
Ribisl K	Lazear H	0
Ribisl K	Leist S	0
Ribisl K	McCorvy J	0
Ribisl K	Perou C	0
Ribisl K	Popkin B	0
Ribisl K	Reeve B	0
Ribisl K	Savoldo B	0
Ribisl K	Schafer A	0
Ribisl K	Sheahan T	0
Ribisl K	Shen D	0
Ribisl K	Sims A	0
Ribisl K	Sullivan P	0
Ribisl K	Wang Q	0
Ribisl K	Wei H	0
Ribisl K	You W	0
Savoldo B	Brewer N	0
Savoldo B	Deng Y	0
Savoldo B	Dotti G	33
Savoldo B	Graham R	0
Savoldo B	Hoadley K	0
Savoldo B	Huang L	0
Savoldo B	Lazear H	0
Savoldo B	Leist S	0
Savoldo B	McCorvy J	0
Savoldo B	Perou C	0
Savoldo B	Popkin B	0
Savoldo B	Reeve B	0
Savoldo B	Ribisl K	0
Savoldo B	Schafer A	0
Savoldo B	Sheahan T	0
Savoldo B	Shen D	0
Savoldo B	Sims A	0
Savoldo B	Sullivan P	0
Savoldo B	Wang Q	0
Savoldo B	Wei H	0
Savoldo B	You W	0
Schafer A	Brewer N	0
Schafer A	Deng Y	0
Schafer A	Dotti G	0
Schafer A	Graham R	4
Schafer A	Hoadley K	0
Schafer A	Huang L	0
Schafer A	Lazear H	0
Schafer A	Leist S	36
Schafer A	McCorvy J	0
Schafer A	Perou C	0
Schafer A	Popkin B	0
Schafer A	Reeve B	0
Schafer A	Ribisl K	0
Schafer A	Savoldo B	0
Schafer A	Sheahan T	16
Schafer A	Shen D	0
Schafer A	Sims A	5
Schafer A	Sullivan P	0
Schafer A	Wang Q	0
Schafer A	Wei H	0
Schafer A	You W	0
Sheahan T	Brewer N	0
Sheahan T	Deng Y	0
Sheahan T	Dotti G	0
Sheahan T	Graham R	7
Sheahan T	Hoadley K	0
Sheahan T	Huang L	0
Sheahan T	Lazear H	0
Sheahan T	Leist S	16
Sheahan T	McCorvy J	0
Sheahan T	Perou C	0
Sheahan T	Popkin B	0
Sheahan T	Reeve B	0
Sheahan T	Ribisl K	0
Sheahan T	Savoldo B	0
Sheahan T	Schafer A	16
Sheahan T	Shen D	0
Sheahan T	Sims A	9
Sheahan T	Sullivan P	0
Sheahan T	Wang Q	0
Sheahan T	Wei H	0
Sheahan T	You W	0
Shen D	Brewer N	0
Shen D	Deng Y	0
Shen D	Dotti G	0
Shen D	Graham R	0
Shen D	Hoadley K	0
Shen D	Huang L	1
Shen D	Lazear H	0
Shen D	Leist S	0
Shen D	McCorvy J	0
Shen D	Perou C	0
Shen D	Popkin B	0
Shen D	Reeve B	0
Shen D	Ribisl K	0
Shen D	Savoldo B	0
Shen D	Schafer A	0
Shen D	Sheahan T	0
Shen D	Sims A	0
Shen D	Sullivan P	0
Shen D	Wang Q	46
Shen D	Wei H	0
Shen D	You W	0
Sims A	Brewer N	0
Sims A	Deng Y	0
Sims A	Dotti G	0
Sims A	Graham R	8
Sims A	Hoadley K	0
Sims A	Huang L	0
Sims A	Lazear H	0
Sims A	Leist S	5
Sims A	McCorvy J	0
Sims A	Perou C	1
Sims A	Popkin B	0
Sims A	Reeve B	0
Sims A	Ribisl K	0
Sims A	Savoldo B	0
Sims A	Schafer A	5
Sims A	Sheahan T	9
Sims A	Shen D	0
Sims A	Sullivan P	0
Sims A	Wang Q	0
Sims A	Wei H	0
Sims A	You W	0
Sullivan P	Brewer N	0
Sullivan P	Deng Y	0
Sullivan P	Dotti G	0
Sullivan P	Graham R	0
Sullivan P	Hoadley K	0
Sullivan P	Huang L	0
Sullivan P	Lazear H	0
Sullivan P	Leist S	0
Sullivan P	McCorvy J	0
Sullivan P	Perou C	0
Sullivan P	Popkin B	0
Sullivan P	Reeve B	0
Sullivan P	Ribisl K	0
Sullivan P	Savoldo B	0
Sullivan P	Schafer A	0
Sullivan P	Sheahan T	0
Sullivan P	Shen D	0
Sullivan P	Sims A	0
Sullivan P	Wang Q	4
Sullivan P	Wei H	0
Sullivan P	You W	0
Wang Q	Brewer N	0
Wang Q	Deng Y	5
Wang Q	Dotti G	0
Wang Q	Graham R	0
Wang Q	Hoadley K	0
Wang Q	Huang L	1
Wang Q	Lazear H	0
Wang Q	Leist S	0
Wang Q	McCorvy J	0
Wang Q	Perou C	5
Wang Q	Popkin B	0
Wang Q	Reeve B	0
Wang Q	Ribisl K	0
Wang Q	Savoldo B	0
Wang Q	Schafer A	0
Wang Q	Sheahan T	0
Wang Q	Shen D	46
Wang Q	Sims A	0
Wang Q	Sullivan P	4
Wang Q	Wei H	4
Wang Q	You W	0
Wei H	Brewer N	0
Wei H	Deng Y	6
Wei H	Dotti G	0
Wei H	Graham R	0
Wei H	Hoadley K	0
Wei H	Huang L	0
Wei H	Lazear H	0
Wei H	Leist S	0
Wei H	McCorvy J	0
Wei H	Perou C	0
Wei H	Popkin B	0
Wei H	Reeve B	0
Wei H	Ribisl K	0
Wei H	Savoldo B	0
Wei H	Schafer A	0
Wei H	Sheahan T	0
Wei H	Shen D	0
Wei H	Sims A	0
Wei H	Sullivan P	0
Wei H	Wang Q	4
Wei H	You W	0
You W	Brewer N	0
You W	Deng Y	0
You W	Dotti G	0
You W	Graham R	0
You W	Hoadley K	0
You W	Huang L	0
You W	Lazear H	0
You W	Leist S	0
You W	McCorvy J	0
You W	Perou C	0
You W	Popkin B	0
You W	Reeve B	0
You W	Ribisl K	0
You W	Savoldo B	0
You W	Schafer A	0
You W	Sheahan T	0
You W	Shen D	0
You W	Sims A	0
You W	Sullivan P	0
You W	Wang Q	0
You W	Wei H	0
